title,text,en_link,cn_lnk,img_source
东方奇幻世界,数据可视化我最爱的动漫,english_link,chinese_link,/static/assets/img/projects/12kingdoms.png
从蓝印花布到牛仔裤,蓝染技术是如何见证中国的衰落与崛起,english_link,chinese_link,/static/assets/img/projects/bluejeans.png
为什么人们不再喜欢香港电影,香港电影发生了什么,english_link,chinese_link,/static/assets/img/projects/hkfilm.png
生活污水去了哪儿,污水是如何清理，及海洋排污有何影响,english_link,chinese_link,/static/assets/img/projects/3dclarify.png
